id,ita-IT,ger-DE,eng-GB
7eb1423069e6e7209a55574bf056d11c,"09.1.2 - Istruzione primaria",,
8d08e9bc0cabe7807e65729d3d22ddf0,"09.2.1 - Istruzione secondaria inferiore",,
fcb4f8850a3f82c742d0f31eb8e7fa41,"09.2.2 - Istruzione secondaria superiore",,
f389da63e1993d6ed08aabcfc25c53f7,"09.3.0 - Istruzione postsecondaria non superiore",,
3dee28bac46b845a4b11f61db384c5d6,"09.4.1 - Primo grado di istruzione superiore",,
28d065e2d8fd59198090c06e6a25827a,"09.4.2 - Secondo grado di istruzione superior",,
b34654883401461a70e0ddfa2aed2d6c,"09.5.0 - Istruzione di diverso tipo",,
7f0957ce673fdc4a93bb44d29e81b247,"09.6.0 - Servizi ausiliari dell'istruzione",,
01a8180e7fa2fee541e8cb468dc73987,"09.7.0 - Ricerca & Sviluppo per l'istruzione",,
1f4685bbb264fe3bcb960ebfa56306d2,"09.8.0 - Istruzione non altrove classificata",,
30e1105e00c644ded54d6fad5147aaeb,"10.1.1 - Malattia",,
53b5048a6abc0cb44e1c756650618e0f,"10.1.2 - Invalidità",,
6637a3a9f8a565841d37f18f5b6579c6,"10.2.1 - Vecchiaia",,
f5f5b507a451023b462d15df96b6dc74,"10.3.1 - Superstiti",,
1898c7770aa187c22b07f21d9b94f4f3,"10.4.1 - Famiglia",,
5ce14aabd60d9684285afd5e88d379b2,"10.5.1 - Disoccupazione",,
3c92ff0b386e4126444cfb6818412f27,"10.6.1 - Abitazioni",,
1a17e217c7f3f76463cc4cee348a585b,"10.7.1 - Esclusione sociale non altrove classificata",,
a45ff4d46b33348ce44b414c21b4d47e,"10.8.1 - Ricerca & Sviluppo per la protezione sociale",,
afbb47f5383a77f9f5dd98ded2aa7503,"10.9.1 - Protezione sociale non altrove classificata",,
ec21117ed2163a3231437dca5741197f,"Forma giuridica",,
1c13f942dc00d970bc26a26cf2fcaa06,"Legal status privato","Private Rechtsform",
2bd40d7d58117c372dceed619dcca1ec,"Altra forma di ente privato con personalità giuridica","Andere Form einer privaten Einrichtung mit Rechtsstatus",
0d58ed52265f431a872923dcdc23bce6,"Altra forma di ente privato senza personalità giuridica","Andere Form einer privaten Einrichtung ohne Rechtspersönlichkeit",
83b7a5df4cdb0b2e35290198ca916f5a,"Associazione non riconosciuta","Nicht-anerkannter Verein",
954f29e860ee648fdf1aecd03aa0150e,"Associazione o raggruppamento temporaneo di imprese","Vereinigung oder vorübergehender Zusammenschluss von Unternehmen",
c5a5515a5c9ece7b76d6dccd12d37e4f,"Associazione riconosciuta","Anerkannter Verein",
580be675949848af689738fa2286daea,"Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001","Öffentlicher Betrieb für Pflege- und Betreuungsdienste gemäß Gesetzesdekret Nr. 207/2001",
0286be0ebe79a7a35ddf0125574e879d,"Azienda speciale ai sensi del t.u. 267/2000","Sonderbetrieb gemäß T.U. Art. Nr. 267/2000",
70757cbec78ea1067707976a25a3d061,Comitato,Komitee,
451149cea694357e1c393b9524d34f57,Condominio,Eigentumswohnung,
5218d10378182c797cda3e5643268b96,"Consorzio di diritto privato","Privatrechtliches Konsortium",
2d5bbb0db79aa99aa2dafc1d0761f97a,"Consorzio di diritto privato ed altre forme di cooperazione fra imprese",,
0526fe900fc769e19bbd75881211aace,"Ente ecclesiastico","Kirchliche Einrichtung",
2934c89ad1d99b46ca7d1a0ede5690b8,"Ente privato con personalità giuridica",,
26a30b0de8acdd6e950759a0604fc801,"Ente privato senza personalità giuridica",,
01710673eedf2dcb0e16495afdbb0dab,"Ente pubblico economico","Öffentliche wirtschaftliche Einrichtung",
