id,ita-IT,ger-DE,eng-GB
e3bcb325bab5e0d8d96dc7ebfdbfd377,Euregio,,
e7a1db94eb0a743ae975be9da1b34835,Eusalp,,
cab1a6f94386ea0eec232acaffbc71ca,"Facilitatori linguistici",,
a15d1dc794972cf541b7a31a8d82ffd6,"Fase interprovinciale Campionati Studenteschi",,
ffa52cd83642ac7d43922339afe094b0,"Fase mondiale Campionati Studenteschi",,
42389eef926e8c55ac1b586acceffe0c,"Fase nazionale Campionati Studenteschi",,
a06f311ebecbbaa37104566ce77993f5,"Fase provinciale Campionati Studenteschi",,
3d002c13b95b79023706675666423b08,"Federazioni sportive",,
feaa0600a5871b4bf9e8a1720e25b34b,"Finanziamenti alle scuole",,
124a101eba5e8a3c754d89597b10d461,Fo.r.e.g,,
f0eea801772ff0e72db2550b15bd3d21,"Fondi pensione-LABORFONDS",,
6276980e05d5dda7368e68f4882498f5,"Fondo Unico delle Istituzioni Scolastiche (F.U.I.S.)",,
d4a166318f63b50d9e4556c423559fc7,"Fondo per il miglioramento della qualità del SEP",,
e0be7570b49bbb72d4c994349830fa62,"Fondo per la valorizzazione e la professionalizzazione dei giovani",,
fa76b9d4bd99e44f56c78b557b60ab3d,"Formazione docenti educazione fisica",,
19a67e6bf8a62d7a23c854580a09bcaa,"Formazione docenti lingue straniere",,
0672a854da179aa5f7f1b1382ebbe2c4,"Formazione docenti religione",,
479a9587a38742420cb6018309824a17,"Formazione insegnanti scuola dell'infanzia",,
d749ff78bd8f442fa1a0458f9dea91c5,"Formazione personale della scuola",,
7be91bdd282368414d40eab692550cd5,"Formazione personale servizi socio educativi",,
3dd023ed494359de886458db6894ea23,"Formazione professionale",,
8a2c018a00dcaed03fa4c4f61674d4d2,Fotovoltaico,,
ef215f8432f32eba1fa2b4bf570d460f,"Funzionalità Contracta",,
21fc6054cb792a4b83981372fc934fb6,Gare,,
737091c10ce9bb033de363e81f8f664f,Geologia,,
013f345913036b92468a027e3b29b27d,"Geositi minerali e fossili",,
